cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	nt_tapah	Concepticon_Gloss	Concepticon_ID	concept_url
the Salang-Sigule list	54	bétoe-a	NA	bulk	belly	perut	31	33	45	TRUE										BELLY	1251	https://concepticon.clld.org/parameters/1251
the Salang-Sigule list	56	goeròh	NA	lever	liver	hati	30	32	47	TRUE										LIVER	1224	https://concepticon.clld.org/parameters/1224
the Salang-Sigule list	57	afètòh	NA	gal	bile	empedu	-	29	48	FALSE										BILE	1780	https://concepticon.clld.org/parameters/1780
the Salang-Sigule list	61	oecheu	NA	navel	navel	pusat	32	34	52	FALSE										NAVEL	1838	https://concepticon.clld.org/parameters/1838
the Salang-Sigule list	62	tali oecheu	NA	navelstreng	umbilical cord	tali pusat	33	35	53	FALSE		ocr error as tall pusat								UMBILICAL CORD	2663	https://concepticon.clld.org/parameters/2663
the Salang-Sigule list	63	titi	NA	rug	back	belakang, punggung	39	40	54	TRUE										BACK	1291	https://concepticon.clld.org/parameters/1291
the Salang-Sigule list	65	galífí	NA	schouder	shoulder	bahu	-	-	56	FALSE										SHOULDER	1482	https://concepticon.clld.org/parameters/1482
the Salang-Sigule list	68	lamang	NA	bil	buttock	pantat bagian kiri atau kanan	45	46	-	FALSE		ocr error as belgian but also fixed the Indonesian spelling to bagian								BUTTOCKS	834	https://concepticon.clld.org/parameters/834
the Salang-Sigule list	69	lalah taǐ	NA	achterste	posterior, buttocks	pantat	44	45	-	FALSE										BUTTOCKS	834	https://concepticon.clld.org/parameters/834
the Salang-Sigule list	72	mètaǐ	NA	poepen	to defecate	berak	172	176	60	FALSE										SHIT (DEFECATE)	676	https://concepticon.clld.org/parameters/676
the Salang-Sigule list	73	taǐ	NA	poep	faeces	tahi	173	177	61	FALSE										FAECES (EXCREMENT)	675	https://concepticon.clld.org/parameters/675
the Salang-Sigule list	75	eutoe	NA	wind laten	to fart	berkentut	174	179	63	FALSE										FART	1159	https://concepticon.clld.org/parameters/1159
the Salang-Sigule list	76	abeu-oe	NA	stinken	to stink, to smell	berbau busuk	-	178	64	FALSE										SMELL (STINK)	1587	https://concepticon.clld.org/parameters/1587
the Salang-Sigule list	77	boetoeh	NA	penis	penis	batang pelir	47	48	65	FALSE										PENIS	1222	https://concepticon.clld.org/parameters/1222
the Salang-Sigule list	78	sipó	NA	vagina	vagina	puki, liang peranakan	48	49	67	FALSE										VAGINA	1836	https://concepticon.clld.org/parameters/1836
the Salang-Sigule list	82	mèchi-eu	NA	pissen	to urinate	kencing (k.k.)	170	174	69	FALSE										PISS	592	https://concepticon.clld.org/parameters/592
the Salang-Sigule list	83	gi-eu	NA	pis	piss, urine	air kencing (k.b.)	171	175	70	FALSE										URINE	1142	https://concepticon.clld.org/parameters/1142
the Salang-Sigule list	84	gaǐ-gahè	NA	been	leg	kaki	49	50	-	TRUE		typo from leki								LEG	1297	https://concepticon.clld.org/parameters/1297
the Salang-Sigule list	86	laloe-a gahè	NA	voet	foot	kaki	54	55	55	TRUE		typo from leki								FOOT	1301	https://concepticon.clld.org/parameters/1301
the Salang-Sigule list	88	mata-an	NA	enkel	ankle	buku kaki, pergelangan kaki	55	56	73	FALSE										ANKLE	803	https://concepticon.clld.org/parameters/803
the Salang-Sigule list	90	faha	NA	dij	thigh	paha	50	51	75	FALSE										UPPER LEG (THIGH)	471	https://concepticon.clld.org/parameters/471
the Salang-Sigule list	91	mata bóhoen	NA	knie	knee	lutut	51	52	76	TRUE										KNEE	1371	https://concepticon.clld.org/parameters/1371
the Salang-Sigule list	93	bíhí	NA	knit	calf	betis	52	53	78	FALSE										CALF OF LEG	498	https://concepticon.clld.org/parameters/498
the Salang-Sigule list	94	teula bíhí	NA	scheen	shin	tulang kering	53	54	79	FALSE										SHIN	186	https://concepticon.clld.org/parameters/186
the Salang-Sigule list	95	danga	NA	arm	arm	lengan	40	41	-	FALSE										ARM	1673	https://concepticon.clld.org/parameters/1673
the Salang-Sigule list	97	danga	NA	hand	hand	tangan	56	57	-	TRUE										HAND	1277	https://concepticon.clld.org/parameters/1277
the Salang-Sigule list	99	bafa gèchè	NA	oksel	armpit	ketiak	42	43	82	FALSE										ARMPIT	1886	https://concepticon.clld.org/parameters/1886
the Salang-Sigule list	100	mata-i-oe	NA	elleboog	elbow	siku	41	42	83	FALSE										ELBOW	981	https://concepticon.clld.org/parameters/981
the Salang-Sigule list	102	laloea danga	NA	handpalm	palm of the hand	telapak tangan	57	58	85	FALSE										PALM OF HAND	1183	https://concepticon.clld.org/parameters/1183
the Salang-Sigule list	105	nònò danga	NA	vingers	fingers	jari tangan (jamak)	58	59	-	FALSE										FINGER	1303	https://concepticon.clld.org/parameters/1303
the Salang-Sigule list	107	dènap	NA	nagel	(finger)nail	kuku	59	60	89	FALSE										FINGERNAIL OR TOENAIL	1896	https://concepticon.clld.org/parameters/1896
the Salang-Sigule list	108	iendo danga/inah danga	NA	duim	thumb	ibu jari	60	61	90	FALSE										THUMB	1781	https://concepticon.clld.org/parameters/1781
the Salang-Sigule list	109	gietòe toeloe	NA	wijsvinger	index finger	telunjuk	61	62	91	FALSE										FOREFINGER	577	https://concepticon.clld.org/parameters/577
the Salang-Sigule list	111	nònò danga	NA	ringvinger	ring finger	jari manis	63	64	93	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	112	nònò danga	NA	pink	little finger	kelingking	64	65	94	FALSE										LITTLE FINGER	2774	https://concepticon.clld.org/parameters/2774
the Salang-Sigule list	115	deulah	NA	been (gebeente)	bone	tulang	65	66	97	TRUE										BONE	1394	https://concepticon.clld.org/parameters/1394
the Salang-Sigule list	116	dó	NA	bloed	blood	darah	66	67	98	TRUE										BLOOD	946	https://concepticon.clld.org/parameters/946
the Salang-Sigule list	117	nêhí	NA	vlees op het lichaam	flesh	daging	67	68	99	FALSE										FLESH OR MEAT	2615	https://concepticon.clld.org/parameters/2615
the Salang-Sigule list	118	goeng-ò	NA	pees	tendon	urat	68	69	100	FALSE										TENDON	1137	https://concepticon.clld.org/parameters/1137
the Salang-Sigule list	121	bìbì	NA	huid	skin	kulit	70	71	101	TRUE										SKIN	763	https://concepticon.clld.org/parameters/763
the Salang-Sigule list	122	boe	NA	haar op het lichaam	body hair	bulu	71	72	102	FALSE										HAIR (BODY)	189	https://concepticon.clld.org/parameters/189
the Salang-Sigule list	123	boe	NA	haar op het lichaam (v. dieren)	body hair (animal)	bulu (binatang)	71	72	-	FALSE										FUR	580	https://concepticon.clld.org/parameters/580
the Salang-Sigule list	124	atingêh	NA	zweet	sweat	keringat	73	74	103	FALSE										SWEAT (SUBSTANCE)	125	https://concepticon.clld.org/parameters/125
the Salang-Sigule list	125	niloe	NA	speeksel	saliva	ludah	74	75	104	FALSE										SALIVA	1503	https://concepticon.clld.org/parameters/1503
the Salang-Sigule list	126	mata dòhò	NA	fluim	phlegm	dahak	-	76	105	FALSE										PHLEGM	3061	https://concepticon.clld.org/parameters/3061
the Salang-Sigule list	127	ahêng ahêng	NA	ademen	to breath	bernapas	115	116	106	FALSE										BREATH OR BREATHE	3183	https://concepticon.clld.org/parameters/3183
the Salang-Sigule list	128	mang-a	NA	eten	to eat	makan	116	117	107	TRUE	eat									EAT	1336	https://concepticon.clld.org/parameters/1336
the Salang-Sigule list	129	oeloefoe	NA	hongerig	hungry	lapar	734	752	108	FALSE										BE HUNGRY	1533	https://concepticon.clld.org/parameters/1533
the Salang-Sigule list	130	manginoe	NA	drinken	to drink	minum	117	118	109	TRUE	drink									DRINK	1401	https://concepticon.clld.org/parameters/1401
the Salang-Sigule list	131	angalifoe	NA	dronken	drunk	mabuk	-	474	367	FALSE										DRUNK	1463	https://concepticon.clld.org/parameters/1463
the Salang-Sigule list	132	angaungau	NA	dorstig	thirsty	haus	736	754	110	FALSE										THIRSTY	847	https://concepticon.clld.org/parameters/847
the Salang-Sigule list	133	aboe-ó	NA	verzadigd	satisfied	kenyang, puas	735	753	111	FALSE										FULL	1429	https://concepticon.clld.org/parameters/1429
the Salang-Sigule list	134	aboe-ó	NA	zat, verzadigd	replete, satisfied	kenyang, puas	-	119	-	FALSE										SATIATED	106	https://concepticon.clld.org/parameters/106
the Salang-Sigule list	137	nibeutêk	NA	slikken	to swallow	telan	118	120	-	FALSE										SWALLOW	897	https://concepticon.clld.org/parameters/897
the Salang-Sigule list	138	mêleu'	NA	slapen	to sleep	tidur	119	121	114	TRUE	sleep									SLEEP	1585	https://concepticon.clld.org/parameters/1585
the Salang-Sigule list	139	mainifí	NA	dromen	to dream	bermimpi	120	122	115	FALSE		ocr error as bermiupi								DREAM (SOMETHING)	1920	https://concepticon.clld.org/parameters/1920
the Salang-Sigule list	144	oemiendó	NA	staan	to stand	berdiri	121	123	120	TRUE	stand									STAND	1442	https://concepticon.clld.org/parameters/1442
the Salang-Sigule list	145	mòfaneu	NA	lopen	to walk	berjalan	122	124	121	TRUE	walk									WALK	1443	https://concepticon.clld.org/parameters/1443
the Salang-Sigule list	146	gaja gaja	NA	liggen op de rug	to lie supine	telentang	124	126	123	FALSE										LIE (REST)	1411	https://concepticon.clld.org/parameters/1411
the Salang-Sigule list	147	lêgoe lêgoe	NA	liggen op de buik	to lie prone	tiarap	125	127	124	FALSE										LIE DOWN	215	https://concepticon.clld.org/parameters/215
the Salang-Sigule list	148	mêleu'	NA	liggen (in het algemeen)	to lie	berbaring	123	125	122	TRUE	lie									LIE DOWN	215	https://concepticon.clld.org/parameters/215
the Salang-Sigule list	149	tau tau	NA	zitten (op een stoel, bank etc.)	to sit (on a chair)	duduk (di atas kursi)	126	128	125	TRUE	sit									SIT DOWN	1649	https://concepticon.clld.org/parameters/1649
the Salang-Sigule list	150	bêsèlòh	NA	zitten (met de benen kruiselings)	to sit (with the legs crossed)	bersila	127	129	126	TRUE	sit									NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	151	éting éting	NA	zitten (met de beide benen op zij en gebogen)	to sit (with the knees bent to one side)	bertimpuh	128	130	127	TRUE	sit									NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	152	oengkang oengkang	NA	hurken	to squat	berjongkok	129	131	128	FALSE										SQUAT	3163	https://concepticon.clld.org/parameters/3163
the Salang-Sigule list	153	loemalangi	NA	zwemmen	to swim	berenang	131	133	129	TRUE	swim, to									SWIM	1439	https://concepticon.clld.org/parameters/1439
the Salang-Sigule list	154	mòndí	NA	baden <intr.>	to take a bath	mandi	169	173	130	FALSE										WASH	1453	https://concepticon.clld.org/parameters/1453
the Salang-Sigule list	156	gagap	NA	stotteren	to stammer	gagap	133	135	132	FALSE										STUTTER	1866	https://concepticon.clld.org/parameters/1866
the Salang-Sigule list	158	soewarò	NA	stem	voice	suara	135	137	133	FALSE										VOICE	1363	https://concepticon.clld.org/parameters/1363
the Salang-Sigule list	159	alau	NA	schor(hees)	hoarse	parau	-	716	134	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	160	fa eundoe	NA	schreeuwen	to shout	berteriak	136	138	-	FALSE										SHOUT	715	https://concepticon.clld.org/parameters/715
the Salang-Sigule list	160	mèfoe-ó	NA	schreeuwen	to shout	berteriak	136	138	-	FALSE										SHOUT	715	https://concepticon.clld.org/parameters/715
the Salang-Sigule list	161	toematawa	NA	lachen	to laugh	tertawa	137	139	135	TRUE	laugh									LAUGH	1355	https://concepticon.clld.org/parameters/1355
the Salang-Sigule list	163	mè-è	NA	schreien <intr.>	to weep	menangis	138	140	137	TRUE	cry									CRY	1839	https://concepticon.clld.org/parameters/1839
the Salang-Sigule list	165	gienggòh	NA	glimlachen	to smile	tersenyum	139	141	139	FALSE										SMILE	1451	https://concepticon.clld.org/parameters/1451
the Salang-Sigule list	166	oemahêng	NA	zuchten	to sigh	berkeluh kesah, mengeluh	140	142	140	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	167	mèngè iloe	NA	spugen, spuwen	to spit	meludah	141	143	141	FALSE										SPIT	1440	https://concepticon.clld.org/parameters/1440
the Salang-Sigule list	169	mèfaheu	NA	niezen	to sneeze	bersin	142	144	143	FALSE										SNEEZE	1621	https://concepticon.clld.org/parameters/1621
the Salang-Sigule list	170	mètêhò	NA	hoesten	to cough	batuk	143	145	144	FALSE										COUGH	879	https://concepticon.clld.org/parameters/879
the Salang-Sigule list	172	adeu eu	NA	hik	hiccups	tersedu	-	146	-	FALSE										HICCOUGH	162	https://concepticon.clld.org/parameters/162
the Salang-Sigule list	172	oendoeh oendêtên	NA	hik	hiccups	tersedu	-	146	-	FALSE										HICCOUGH	162	https://concepticon.clld.org/parameters/162
the Salang-Sigule list	174	oemeu-a	NA	boer (oprisping)	belch	sendawa	-	148	147	FALSE		typo in the original as serdawa; should be sendawa								BELCH	2245	https://concepticon.clld.org/parameters/2245
the Salang-Sigule list	176	mètoelei	NA	gapen	to yawn	menguap	144	149	149	FALSE										YAWN	1028	https://concepticon.clld.org/parameters/1028
the Salang-Sigule list	177	niangó doehoe	NA	knikken	to nod	mengangguk	145	150	-	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	182	auli	NA	leven (levend)	to live (alive)	hidup	163	168	154	TRUE	live									BE ALIVE	1422	https://concepticon.clld.org/parameters/1422
the Salang-Sigule list	183	matìh	NA	sterven	to die	meninggal dunia	161	166	155	TRUE	die									DIE	1494	https://concepticon.clld.org/parameters/1494
the Salang-Sigule list	184	matih	NA	dood (zelfstnw.)	death	kematian	164	169	-	FALSE										DEATH	910	https://concepticon.clld.org/parameters/910
the Salang-Sigule list	188	matih	NA	lijk	corpse	mayat	162	167	-	FALSE										CORPSE	767	https://concepticon.clld.org/parameters/767
the Salang-Sigule list	191	djirat	NA	graf	grave	kuburan	244	242	160	FALSE										GRAVE	1773	https://concepticon.clld.org/parameters/1773
the Salang-Sigule list	192	boenoeh nata	NA	doden	to kill	membunuh	166	170	161	TRUE	kill									KILL	1417	https://concepticon.clld.org/parameters/1417
the Salang-Sigule list	196	baǐlen	NA	wond	wound	luka	177	181	163	FALSE										WOUND	1109	https://concepticon.clld.org/parameters/1109
the Salang-Sigule list	197	baǐlen	NA	zweer	an infected wound	luka bernanah	178	182	-	FALSE										INFECTED	548	https://concepticon.clld.org/parameters/548
the Salang-Sigule list	198	inati-an	NA	litteken	scar	bekas luka	179	183	164	FALSE										SCAR	497	https://concepticon.clld.org/parameters/497
the Salang-Sigule list	199	afeucheu	NA	ziek	ill	sakit	730	748	165	FALSE										SICK	1847	https://concepticon.clld.org/parameters/1847
the Salang-Sigule list	200	afêcheu	NA	ziek zijn	to be ill	merasa sakit	175	180	-	FALSE										SICK	1847	https://concepticon.clld.org/parameters/1847
the Salang-Sigule list	202	sênêng	NA	gezond	healthy	sehat	731	749	167	FALSE										HEALTHY	1364	https://concepticon.clld.org/parameters/1364
the Salang-Sigule list	203	aba-ò	NA	steenpuist	boil	bisul	180	184	168	FALSE										BOIL (OF SKIN)	793	https://concepticon.clld.org/parameters/793
the Salang-Sigule list	205	afêcheu auchoe	NA	koorts	fever	demam (k.b.)	181	185	-	FALSE										FEVER	1534	https://concepticon.clld.org/parameters/1534
the Salang-Sigule list	207	afêcheu bétoea	NA	buikpijn	stomach ache	sakit perut	182	186	-	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	210	katoemboe-an	NA	pokken	small pox	cacar	184	188	172	FALSE										SMALLPOX	1054	https://concepticon.clld.org/parameters/1054
the Salang-Sigule list	211	ima imaun	NA	mazelen	measles	campak	185	189	-	FALSE										MEASLES	3389	https://concepticon.clld.org/parameters/3389
the Salang-Sigule list	214	foe-àh	NA	uitslag	eruption (of rash)	ruam	186	190	-	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	219	afêcheu toehoe/doehoe	NA	hoofdpijn	headache	sakit kepala, pusing	187	191	-	FALSE										HEADACHE	3625	https://concepticon.clld.org/parameters/3625
the Salang-Sigule list	220	afêcheu chadeula	NA	rheumatiek	rheumatism	sengal, encok	188	192	179	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	222	o-afoe	NA	verkoudheid	a cold	selesma	189	193	-	FALSE										COMMON COLD (DISEASE)	102	https://concepticon.clld.org/parameters/102
the Salang-Sigule list	223	afatang	NA	slapen van de ledematen, slaap (mierenkriewel)	gone to sleep (limbs)	kesemutan	191	195	181	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	225	ala eupan	NA	verlamd	paralysed	lumpuh	192	196	182	FALSE										DISABLED PERSON	3621	https://concepticon.clld.org/parameters/3621
the Salang-Sigule list	227	bagòh	NA	stom	mute	bisu	193	197	184	FALSE										MUTE PERSON	2320	https://concepticon.clld.org/parameters/2320
the Salang-Sigule list	228	afioe	NA	doof	deaf	tuli	194	198	185	FALSE										DEAF PERSON	458	https://concepticon.clld.org/parameters/458
the Salang-Sigule list	229	aboeta	NA	blind	blind	buta	195	199	186	FALSE										BLIND	1653	https://concepticon.clld.org/parameters/1653
the Salang-Sigule list	231	djoeling	NA	scheel	squinting	juling	196	200	188	FALSE										SQUINT-EYED	87	https://concepticon.clld.org/parameters/87
the Salang-Sigule list	232	moela poelìh	NA	genezen	cured	sembuh	197	201	189	FALSE										CURE	499	https://concepticon.clld.org/parameters/499
the Salang-Sigule list	234	deu-oe	NA	geneesmiddel (met toverkracht)	medicine (with magic power)	obat (dari dukun)	199	202	-	FALSE										MAGIC	392	https://concepticon.clld.org/parameters/392
the Salang-Sigule list	235	bidan	NA	dokter (dukun)	doctor (medicine man)	dokter (dukun)	200	203	-	FALSE										SHAMAN (FOLK HEALER)	394	https://concepticon.clld.org/parameters/394
the Salang-Sigule list	236	ata/nata	NA	mens (in de zin van mensdom)	man, mankind	manusia	1	1	-	FALSE										PERSON	683	https://concepticon.clld.org/parameters/683
the Salang-Sigule list	237	ata/nata	NA	mens (in de zin van de mensen werden gedood)	people	orang	2	2	-	FALSE										PEOPLE	789	https://concepticon.clld.org/parameters/789
the Salang-Sigule list	238	ata/nata	NA	mens (in de zin van de mensen v. het gebergte zijn onze vijanden)	people	orang	3	3	-	FALSE										PEOPLE	789	https://concepticon.clld.org/parameters/789
the Salang-Sigule list	239	deu-i	NA	naam	name	nama	113	114	192	TRUE										NAME	1405	https://concepticon.clld.org/parameters/1405
the Salang-Sigule list	240	deu-i	NA	bijnaam	nickname	julukan	114	115	-	FALSE										NAME	1405	https://concepticon.clld.org/parameters/1405
the Salang-Sigule list	241	imatoe-a	NA	man	man	orang laki-laki	75	77	193	TRUE										MALE PERSON	2106	https://concepticon.clld.org/parameters/2106
the Salang-Sigule list	242	jalafih	NA	vrouw	woman	orang perempuan	76	78	194	TRUE										WOMAN	962	https://concepticon.clld.org/parameters/962
the Salang-Sigule list	243	imatoe-a	NA	mannelijk (v.d. mens)	male (human)	laki-laki	110	111	195	FALSE										MALE (OF PERSON)	2261	https://concepticon.clld.org/parameters/2261
the Salang-Sigule list	244	alia	NA	mannelijk (v.d.dieren)	male (animal)	jantan	110	111	195	FALSE										MALE (OF ANIMAL)	2263	https://concepticon.clld.org/parameters/2263
the Salang-Sigule list	245	jalafìh	NA	vrouwelijk (v.d.mens)	female (human)	perempuan	112	113	196	FALSE										FEMALE (OF PERSON)	2260	https://concepticon.clld.org/parameters/2260
the Salang-Sigule list	246	géloe	NA	vrouwelijk (v.d. dieren)	female (animal)	betina	112	113	196	FALSE										FEMALE (OF ANIMAL)	2262	https://concepticon.clld.org/parameters/2262
the Salang-Sigule list	248	jalafìh	NA	maagd	virgin	gadis	77	79	-	FALSE										VIRGIN	2298	https://concepticon.clld.org/parameters/2298
the Salang-Sigule list	250	ònò imatoe-a	NA	jongen	boy, lad	anak laki-laki	78	80	-	FALSE										BOY OR SON	2391	https://concepticon.clld.org/parameters/2391
the Salang-Sigule list	252	ònò jalafih	NA	meisje	girl	gadis	79	81	-	FALSE										GIRL	1646	https://concepticon.clld.org/parameters/1646
the Salang-Sigule list	255	ekoe	NA	vader	father	ayah	80	82	201	TRUE										FATHER	1217	https://concepticon.clld.org/parameters/1217
the Salang-Sigule list	256	indeu	NA	moeder	mother	ibu	81	83	202	TRUE										MOTHER	1216	https://concepticon.clld.org/parameters/1216
the Salang-Sigule list	257	wòh	NA	oudste kind	oldest child	anak sulung	82	84	204	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	258	bò	2	jongste kind	youngest child	anak bungsu	82	84	205	FALSE			oepih	female						NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	258	oepih	2	jongste kind	youngest child	anak bungsu	82	84	205	FALSE			oepih	female						NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	261		3	zoon	son	anak laki-laki	83	85	-	FALSE							called by the proper name			SON	1620	https://concepticon.clld.org/parameters/1620
the Salang-Sigule list	262		3	dochter	daughter	anak perempuan	84	86	-	FALSE							called by the proper name			DAUGHTER	1357	https://concepticon.clld.org/parameters/1357
the Salang-Sigule list	263	nènèh	NA	grootvader	grandfather	nenek laki-laki (kakek)	85	87	207	FALSE										GRANDFATHER	1383	https://concepticon.clld.org/parameters/1383
the Salang-Sigule list	264	nènèh	NA	grootmoeder	grandmother	nenek perempuan (nenek)	89	90	208	FALSE										GRANDMOTHER	1496	https://concepticon.clld.org/parameters/1496
the Salang-Sigule list	266	nènèh ínjang	NA	overgrootouders	great-grandparents	moyang	86	88	-	FALSE										NA	NA	https://concepticon.clld.org/parameters/NA
the Salang-Sigule list	267	nènèh mónjang	NA	voorouders	ancestors	leluhur, nenek moyang	88	89	-	FALSE										ANCESTORS	1669	https://concepticon.clld.org/parameters/1669
the Salang-Sigule list	268	wòh	NA	broeder	brother	saudara laki-laki	90	91	-	TRUE										BROTHER	1262	https://concepticon.clld.org/parameters/1262
the Salang-Sigule list	269	wòh	NA	zuster	sister	saudara perempuan	91	92	-	TRUE										SISTER	1263	https://concepticon.clld.org/parameters/1263
the Salang-Sigule list	270	wòh	NA	oudere broeder	older brother	kakak laki-laki (kandung)	92	93	209	FALSE										OLDER BROTHER	1759	https://concepticon.clld.org/parameters/1759
the Salang-Sigule list	271	wòh	NA	oudere zuster	older sister	kakak perempuan (kandung)	92	93	209	FALSE										OLDER SISTER	1758	https://concepticon.clld.org/parameters/1758
